name,x,y
맥도날드 광주동림DT점,126.8621049,35.1724545
맥도날드 광주운암DT점,126.8701381,35.1849773
맥도날드 광주쌍촌DT점,126.862716,35.151512
스타벅스 광주운암DT점,126.8784132,35.1776306
스타벅스 광주운암DT점입구,126.878313,35.1774867
스타벅스 광주운암DT점출구,126.8781906,35.1775782
스타벅스 광주신세계DT점,126.8831,35.1563
롯데리아 광주운암DI점,126.87074,35.1841007
엔제리너스 광주운암DT점,126.8707272,35.1840529
엔제리너스커피 광주광천DT점,126.8825096,35.1617884
맥도날드 광주첨단DT점,126.8718313,35.2116707
스타벅스 광주신안DT점,126.894998,35.171678
KFC 광주용봉DT점,126.8990397,35.1836306
롯데리아 광주농성DT점,126.8829821,35.1553126
스타벅스 광주화정DT점,126.8799464,35.1522535
투썸플레이스 광주쌍촌DT점,126.8666936,35.1512463
스타벅스 광주연제DT점,126.866803,35.197688
맥도날드 광주동림DT점입구,126.8623395,35.172339
맥도날드 광주동림DT점출구,126.8620442,35.172295
맥도날드 광주운암DT점입구,126.8702532,35.1848959
